Latitude,Longitude,Sample Date,s2_item_id,s2_datetime,s2_cloud,B02,B03,B04,B08,B11,B12,NDVI,NDWI,NDMI
-24.670833,28.560833,2015-05-08,S2A_MSIL2A_20150811T081656_R135_T35JPN_20210411T200801,2015-08-11 08:16:56.027000+00:00,0.0,1.0,0.0055541666666666,0.0220902777777777,0.0380493055555555,0.0436416666666666,0.0388777777777777,0.2653664507294137,-0.745242000970345,-0.0684575168946437
-25.81048333,27.90955222,2015-05-08,S2A_MSIL2A_20150811T081656_R135_T35JNM_20210411T200756,2015-08-11 08:16:56.027000+00:00,0.000123,1.0,1.0,1.0,0.00346875,0.0141277777777777,0.0120444444444444,-0.9930864812671116,0.9930864812671116,-0.6057460830785619
-24.282222,28.090278,2015-10-09,S2A_MSIL2A_20150913T080256_R035_T35KPP_20210412T084301,2015-09-13 08:02:56.029000+00:00,0.000954,0.0694284722222222,0.0812520833333333,0.0917097222222222,0.1466833333333333,0.2372083333333333,0.1559555555555555,0.23060072359393605,-0.287060479483975,-0.23580871339509202
-25.127778,27.628889,2015-08-09,S2A_MSIL2A_20150913T080256_R035_T35JNN_20210412T084231,2015-09-13 08:02:56.029000+00:00,0.002133,0.0802881944444444,0.095675,0.1212145833333333,0.1778333333333333,0.3027916666666666,0.2695,0.18933002654193604,-0.3003869473801514,-0.25999133073201225
-25.20639,27.558,2015-08-09,S2A_MSIL2A_20150913T080256_R035_T35JNN_20210412T084231,2015-09-13 08:02:56.029000+00:00,0.002133,0.0801902777777777,0.0961027777777777,0.1074576388888888,0.1602694444444444,0.2061888888888888,0.1597027777777777,0.19725985469167154,-0.2502871259227027,-0.12530604510104135
-24.69514,27.40906,2015-08-09,S2A_MSIL2A_20150913T080256_R035_T35JNN_20210412T084231,2015-09-13 08:02:56.029000+00:00,0.002133,0.0701979166666666,0.0856486111111111,0.08768125,0.17435,0.1536083333333333,0.1045583333333333,0.33075730470953085,-0.3411610104741712,0.06324482276692711
-23.763056,27.908611,2015-09-09,S2A_MSIL2A_20150913T080256_R035_T35KNP_20210412T084255,2015-09-13 08:02:56.029000+00:00,0.002664,0.0839020833333333,0.0980923611111111,0.1257,0.1863583333333333,0.2805166666666666,0.2012944444444444,0.1943813923672569,-0.3103032404062244,-0.20167782240028195
-26.861111,28.884722,2015-04-08,S2A_MSIL2A_20150811T081656_R135_T35JPL_20210411T200804,2015-08-11 08:16:56.027000+00:00,0.008766,1.0,1.0,0.0002611111111111,0.0029395833333333,0.01265,0.01105,0.8368409630711587,0.9941380649788285,-0.6228785246159354
-27.273889,28.49,2015-01-09,S2A_MSIL2A_20150831T081656_R135_T35JPK_20210525T180920,2015-08-31 08:16:56.027000+00:00,0.00938,0.0559486111111111,0.0722770833333333,0.0707381944444444,0.10675,0.0971166666666666,0.0650916666666666,0.20289690628761653,-0.19255699207414606,0.047253106605393135
-27.4275,28.525833,2015-01-09,S2A_MSIL2A_20150831T081656_R135_T35JPK_20210525T180920,2015-08-31 08:16:56.027000+00:00,0.00938,0.0965368055555555,0.1307138888888888,0.1823291666666666,0.2505736111111111,0.3914,0.3086333333333333,0.15764381276231687,-0.3143552364604347,-0.21936476274302139
