Latitude,Longitude,Sample Date,s2_item_id,s2_datetime,s2_cloud,B02,B03,B04,B08,B11,B12,NDVI,NDWI,NDMI
-28.760833,17.730278,2011-01-02,,,,,,,,,,,,
-26.861111,28.884722,2011-01-03,,,,,,,,,,,,
-26.45,28.085833,2011-01-03,,,,,,,,,,,,
-27.671111,27.236944,2011-01-03,,,,,,,,,,,,
-27.356667,27.286389,2011-01-03,,,,,,,,,,,,
-27.01011111,26.69808333,2011-01-04,,,,,,,,,,,,
-25.127778,27.628889,2011-01-04,,,,,,,,,,,,
-25.20639,27.558,2011-01-04,,,,,,,,,,,,
-24.69514,27.40906,2011-01-04,,,,,,,,,,,,
-26.98472222,26.63227778,2011-01-04,,,,,,,,,,,,
-28.141944,26.417778,2011-01-04,,,,,,,,,,,,
-27.398611,26.614722,2011-01-04,,,,,,,,,,,,
-33.501667,21.624167,2011-01-04,,,,,,,,,,,,
-32.502778,19.535833,2011-01-04,,,,,,,,,,,,
-25.45963889,28.26430556,2011-01-04,,,,,,,,,,,,
-27.495556,26.074722,2011-01-04,,,,,,,,,,,,
-26.648056,27.089444,2011-01-05,,,,,,,,,,,,
-26.970278,27.211111,2011-01-05,,,,,,,,,,,,
-27.38972222,26.46388889,2011-01-05,,,,,,,,,,,,
-27.044444,27.005,2011-01-05,,,,,,,,,,,,
-30.830556,26.921389,2011-01-06,,,,,,,,,,,,
-27.00222,28.76528,2011-01-06,,,,,,,,,,,,
-27.02314,28.59389,2011-01-06,,,,,,,,,,,,
-30.679722,26.7125,2011-01-06,,,,,,,,,,,,
-30.160091,27.40124,2011-01-06,,,,,,,,,,,,
-32.595833,19.009444,2011-01-06,,,,,,,,,,,,
-25.99136,27.84208,2011-01-10,,,,,,,,,,,,
-26.73806,27.59194,2011-01-10,,,,,,,,,,,,
-26.45,28.085833,2011-01-10,,,,,,,,,,,,
-30.86013889,29.07125,2011-01-10,,,,,,,,,,,,
-27.356667,27.286389,2011-01-10,,,,,,,,,,,,
-27.01011111,26.69808333,2011-01-11,,,,,,,,,,,,
-25.73411,27.21422,2011-01-11,,,,,,,,,,,,
-26.98472222,26.63227778,2011-01-11,,,,,,,,,,,,
-27.398611,26.614722,2011-01-11,,,,,,,,,,,,
-27.671111,27.236944,2011-01-11,,,,,,,,,,,,
-29.160278,26.573333,2011-01-11,,,,,,,,,,,,
-34.250556,20.9925,2011-01-11,,,,,,,,,,,,
-25.45963889,28.26430556,2011-01-11,,,,,,,,,,,,
-25.81048333,27.90955222,2011-01-12,,,,,,,,,,,,
-27.273889,28.49,2011-01-12,,,,,,,,,,,,
-27.4275,28.525833,2011-01-12,,,,,,,,,,,,
-28.883333,27.89,2011-01-12,,,,,,,,,,,,
-27.00222,28.76528,2011-01-13,,,,,,,,,,,,
-27.02314,28.59389,2011-01-13,,,,,,,,,,,,
-30.534167,24.961944,2011-01-13,,,,,,,,,,,,
-28.460833,21.248889,2011-01-13,,,,,,,,,,,,
-29.658056,25.973333,2011-01-14,,,,,,,,,,,,
-28.760833,17.730278,2011-01-16,,,,,,,,,,,,
-25.513889,31.224444,2011-01-17,,,,,,,,,,,,
-26.861111,28.884722,2011-01-17,,,,,,,,,,,,
-31.554722,29.245556,2011-01-17,,,,,,,,,,,,
-28.058889,30.373611,2011-01-17,,,,,,,,,,,,
-25.127778,27.628889,2011-01-18,,,,,,,,,,,,
-25.20639,27.558,2011-01-18,,,,,,,,,,,,
-24.69514,27.40906,2011-01-18,,,,,,,,,,,,
-25.681111,31.783333,2011-01-18,,,,,,,,,,,,
-27.802778,28.768333,2011-01-18,,,,,,,,,,,,
-27.398611,26.614722,2011-01-18,,,,,,,,,,,,
-31.104278,29.399722,2011-01-18,,,,,,,,,,,,
-31.396,29.2651,2011-01-18,,,,,,,,,,,,
-33.38056,19.30167,2011-01-18,,,,,,,,,,,,
-33.31388889,19.07472222,2011-01-18,,,,,,,,,,,,
-27.495556,26.074722,2011-01-18,,,,,,,,,,,,
-24.39619444,27.08983333,2011-01-19,,,,,,,,,,,,
-26.970278,27.211111,2011-01-19,,,,,,,,,,,,
-26.880278,26.965,2011-01-19,,,,,,,,,,,,
-27.273889,28.49,2011-01-19,,,,,,,,,,,,
-27.3,28.586944,2011-01-19,,,,,,,,,,,,
-27.044444,27.005,2011-01-19,,,,,,,,,,,,
-30.568333,29.422778,2011-01-19,,,,,,,,,,,,
-30.570833,29.150556,2011-01-19,,,,,,,,,,,,
-34.031944,22.053333,2011-01-19,,,,,,,,,,,,
-33.13083,18.86278,2011-01-19,,,,,,,,,,,,
-33.7075,18.97444444,2011-01-19,,,,,,,,,,,,
-25.57877778,29.12747222,2011-01-19,,,,,,,,,,,,
-26.006389,29.253889,2011-01-20,,,,,,,,,,,,
-27.02314,28.59389,2011-01-20,,,,,,,,,,,,
-30.679722,26.7125,2011-01-20,,,,,,,,,,,,
-28.460833,21.248889,2011-01-20,,,,,,,,,,,,
-30.77586667,29.03221667,2011-01-20,,,,,,,,,,,,
-24.925278,29.324444,2011-01-21,,,,,,,,,,,,
-28.460833,21.248889,2011-01-21,,,,,,,,,,,,
-24.679167,30.8025,2011-01-24,,,,,,,,,,,,
-25.99136,27.84208,2011-01-24,,,,,,,,,,,,
