Latitude,Longitude,nir,green,swir16,pet,month_sin,month_cos
-28.760833,17.730278,11190.0,11426.0,7687.5,174.2,0.49999999999999994,0.8660254037844387
-26.861111,28.884722,17658.5,9550.0,13746.5,124.1,0.49999999999999994,0.8660254037844387
-26.45,28.085833,15210.0,10720.0,17974.0,127.5,0.49999999999999994,0.8660254037844387
-27.671111,27.236944,14887.0,10943.0,13522.0,129.7,0.49999999999999994,0.8660254037844387
-27.356667,27.286389,16828.5,9502.5,12665.5,129.2,0.49999999999999994,0.8660254037844387
-27.01011111,26.69808333,12433.5,10433.5,9579.5,98.6,0.49999999999999994,0.8660254037844387
-25.127778,27.628889,7814.0,5189.5,6664.0,105.5,0.49999999999999994,0.8660254037844387
-25.20639,27.558,14137.5,10466.5,10315.5,103.700005,0.49999999999999994,0.8660254037844387
-24.69514,27.40906,15543.0,10647.0,11919.5,111.8,0.49999999999999994,0.8660254037844387
-26.98472222,26.63227778,13683.0,10207.0,14011.5,98.200005,0.49999999999999994,0.8660254037844387
-28.141944,26.417778,14391.0,9840.0,13799.5,93.8,0.49999999999999994,0.8660254037844387
-27.398611,26.614722,15515.5,10247.0,12823.0,100.9,0.49999999999999994,0.8660254037844387
-32.502778,19.535833,17653.0,13104.0,19330.0,119.9,0.49999999999999994,0.8660254037844387
-25.45963889,28.26430556,13959.0,9926.0,15156.5,103.6,0.49999999999999994,0.8660254037844387
-27.495556,26.074722,17937.5,11044.5,18143.5,99.700005,0.49999999999999994,0.8660254037844387
-26.648056,27.089444,19310.5,9597.0,12954.5,83.5,0.49999999999999994,0.8660254037844387
-26.970278,27.211111,10218.0,11040.0,7946.5,82.1,0.49999999999999994,0.8660254037844387
-27.38972222,26.46388889,11481.0,11597.0,8583.0,83.200005,0.49999999999999994,0.8660254037844387
-27.044444,27.005,17418.5,9908.0,13987.0,82.4,0.49999999999999994,0.8660254037844387
-30.830556,26.921389,5266.5,4491.0,3672.5,57.0,0.49999999999999994,0.8660254037844387
-27.00222,28.76528,13724.0,9691.0,13005.5,70.0,0.49999999999999994,0.8660254037844387
-27.02314,28.59389,11490.5,9969.5,10372.5,72.4,0.49999999999999994,0.8660254037844387
-30.679722,26.7125,13400.0,10548.0,7764.0,59.8,0.49999999999999994,0.8660254037844387
-30.160091,27.40124,14158.0,10060.0,12037.5,57.4,0.49999999999999994,0.8660254037844387
-32.595833,19.009444,15218.5,10334.0,14735.0,52.7,0.49999999999999994,0.8660254037844387
-25.99136,27.84208,18631.5,11771.5,16495.0,173.2,0.49999999999999994,0.8660254037844387
-26.73806,27.59194,9089.5,9167.0,7963.0,179.40001,0.49999999999999994,0.8660254037844387
-26.45,28.085833,15210.0,10720.0,17974.0,172.90001,0.49999999999999994,0.8660254037844387
-30.86013889,29.07125,14558.0,10724.5,11450.0,138.0,0.49999999999999994,0.8660254037844387
-27.356667,27.286389,16828.5,9502.5,12665.5,185.8,0.49999999999999994,0.8660254037844387
-27.01011111,26.69808333,12433.5,10433.5,9579.5,191.7,0.49999999999999994,0.8660254037844387
-25.73411,27.21422,21914.0,17765.0,22170.5,182.5,0.49999999999999994,0.8660254037844387
-26.98472222,26.63227778,13683.0,10207.0,14011.5,192.0,0.49999999999999994,0.8660254037844387
-27.398611,26.614722,15515.5,10247.0,12823.0,197.40001,0.49999999999999994,0.8660254037844387
-27.671111,27.236944,14887.0,10943.0,13522.0,192.1,0.49999999999999994,0.8660254037844387
-34.250556,20.9925,12323.0,9019.0,13161.0,140.2,0.49999999999999994,0.8660254037844387
-25.45963889,28.26430556,13959.0,9926.0,15156.5,182.8,0.49999999999999994,0.8660254037844387
-25.81048333,27.90955222,16870.5,9753.0,13408.0,164.1,0.49999999999999994,0.8660254037844387
-27.273889,28.49,12333.0,9060.0,9264.5,164.3,0.49999999999999994,0.8660254037844387
-27.4275,28.525833,16767.0,10794.0,18026.5,163.6,0.49999999999999994,0.8660254037844387
-28.883333,27.89,14007.5,9248.0,12553.5,164.2,0.49999999999999994,0.8660254037844387
-27.00222,28.76528,13724.0,9691.0,13005.5,161.6,0.49999999999999994,0.8660254037844387
-27.02314,28.59389,11490.5,9969.5,10372.5,163.1,0.49999999999999994,0.8660254037844387
-30.534167,24.961944,15132.5,10835.0,13586.0,205.0,0.49999999999999994,0.8660254037844387
-28.460833,21.248889,14599.0,12046.5,12067.0,244.7,0.49999999999999994,0.8660254037844387
-29.658056,25.973333,14001.0,10765.0,12520.0,186.90001,0.49999999999999994,0.8660254037844387
-28.760833,17.730278,11190.0,11426.0,7687.5,257.5,0.49999999999999994,0.8660254037844387
-25.513889,31.224444,14776.0,9116.5,12424.0,149.40001,0.49999999999999994,0.8660254037844387
-26.861111,28.884722,17658.5,9550.0,13746.5,161.0,0.49999999999999994,0.8660254037844387
-31.554722,29.245556,19619.0,9449.0,13890.0,123.700005,0.49999999999999994,0.8660254037844387
-28.058889,30.373611,14514.0,9326.0,12189.5,158.0,0.49999999999999994,0.8660254037844387
-25.127778,27.628889,7814.0,5189.5,6664.0,169.3,0.49999999999999994,0.8660254037844387
-25.20639,27.558,14137.5,10466.5,10315.5,170.0,0.49999999999999994,0.8660254037844387
-24.69514,27.40906,15543.0,10647.0,11919.5,172.90001,0.49999999999999994,0.8660254037844387
-25.681111,31.783333,13298.5,10809.0,10191.0,149.2,0.49999999999999994,0.8660254037844387
-27.802778,28.768333,12128.5,9803.5,9325.0,159.1,0.49999999999999994,0.8660254037844387
-27.398611,26.614722,15515.5,10247.0,12823.0,191.90001,0.49999999999999994,0.8660254037844387
-31.396,29.2651,12488.0,11835.5,8894.0,134.5,0.49999999999999994,0.8660254037844387
-33.38056,19.30167,15820.0,10665.5,16377.5,194.3,0.49999999999999994,0.8660254037844387
-33.31388889,19.07472222,13162.5,9546.5,12786.0,205.90001,0.49999999999999994,0.8660254037844387
-27.495556,26.074722,17937.5,11044.5,18143.5,194.2,0.49999999999999994,0.8660254037844387
-26.970278,27.211111,10218.0,11040.0,7946.5,173.90001,0.49999999999999994,0.8660254037844387
-26.880278,26.965,14265.0,9582.5,14182.0,175.5,0.49999999999999994,0.8660254037844387
-27.273889,28.49,12333.0,9060.0,9264.5,164.3,0.49999999999999994,0.8660254037844387
-27.3,28.586944,14954.0,9636.0,14753.0,163.40001,0.49999999999999994,0.8660254037844387
-27.044444,27.005,17418.5,9908.0,13987.0,178.7,0.49999999999999994,0.8660254037844387
-30.568333,29.422778,16880.0,9196.5,12987.5,137.7,0.49999999999999994,0.8660254037844387
-34.031944,22.053333,9058.0,7859.0,8310.0,157.5,0.49999999999999994,0.8660254037844387
